experiment,run_id,persona_file,persona_path,gender_condition,model_label,expert_model,student_model,seed,status,error,protocol_ok,protocol_error,log_path,dialog_json_path,patches_json_path,events_json_path,memory_json_path,selected_options_path,selected_option_number,selected_option,selected_option_source_turn,gender_policy,riasec_policy
baseline_gender_ollama,Agre_Cons_Emot_Extr_Open_p10__gender_male__model_mistral_small31_24b_32k,Agre_Cons_Emot_Extr_Open_p10.json,/home/jovyan/projects/eloquence_pilot2/PERSONAS_DATASET_baseline_02_riasec_l2_only/Agre_Cons_Emot_Extr_Open_p10.json,male,mistral_small31_24b_32k,ollama:mistral-small3.1-24b-32k,ollama:mistral-small3.1-24b-32k-student,12345,invalid_protocol,missing_counselor_wrapup_recap,False,missing_counselor_wrapup_recap,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_logs_txt/Agre_Cons_Emot_Extr_Open_p10__gender_male__model_mistral_small31_24b_32k.txt,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_dialog_json/Agre_Cons_Emot_Extr_Open_p10__gender_male__model_mistral_small31_24b_32k.dialog.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_patches/Agre_Cons_Emot_Extr_Open_p10__gender_male__model_mistral_small31_24b_32k.listener_patches.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_events/Agre_Cons_Emot_Extr_Open_p10__gender_male__model_mistral_small31_24b_32k.listener_events.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_memory/Agre_Cons_Emot_Extr_Open_p10__gender_male__model_mistral_small31_24b_32k.listener_memory.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_selected_options/Agre_Cons_Emot_Extr_Open_p10__gender_male__model_mistral_small31_24b_32k.selected_option.json,1,1 - University of Trento | [0704G] INTERFACCE E TECNOLOGIE DELLA COMUNICAZIONE,15,hidden_counselor_listener_gender_no_visible_student_gender_cue_by_default,inferred_by_counselor_listener_no_source_riasec_injection
baseline_gender_ollama,Agre_Cons_Emot_Extr_Open_p114__gender_male__model_mistral_small31_24b_32k,Agre_Cons_Emot_Extr_Open_p114.json,/home/jovyan/projects/eloquence_pilot2/PERSONAS_DATASET_baseline_02_riasec_l2_only/Agre_Cons_Emot_Extr_Open_p114.json,male,mistral_small31_24b_32k,ollama:mistral-small3.1-24b-32k,ollama:mistral-small3.1-24b-32k-student,12346,invalid_protocol,missing_counselor_wrapup_recap,False,missing_counselor_wrapup_recap,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_logs_txt/Agre_Cons_Emot_Extr_Open_p114__gender_male__model_mistral_small31_24b_32k.txt,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_dialog_json/Agre_Cons_Emot_Extr_Open_p114__gender_male__model_mistral_small31_24b_32k.dialog.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_patches/Agre_Cons_Emot_Extr_Open_p114__gender_male__model_mistral_small31_24b_32k.listener_patches.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_events/Agre_Cons_Emot_Extr_Open_p114__gender_male__model_mistral_small31_24b_32k.listener_events.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_memory/Agre_Cons_Emot_Extr_Open_p114__gender_male__model_mistral_small31_24b_32k.listener_memory.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_selected_options/Agre_Cons_Emot_Extr_Open_p114__gender_male__model_mistral_small31_24b_32k.selected_option.json,1,"1 - University of Siena | [D340] BIODIVERSITY, CONSERVATION AND ENVIRONMENTAL QUALITY",14,hidden_counselor_listener_gender_no_visible_student_gender_cue_by_default,inferred_by_counselor_listener_no_source_riasec_injection
baseline_gender_ollama,Agre_Cons_Emot_Extr_Open_p115__gender_male__model_mistral_small31_24b_32k,Agre_Cons_Emot_Extr_Open_p115.json,/home/jovyan/projects/eloquence_pilot2/PERSONAS_DATASET_baseline_02_riasec_l2_only/Agre_Cons_Emot_Extr_Open_p115.json,male,mistral_small31_24b_32k,ollama:mistral-small3.1-24b-32k,ollama:mistral-small3.1-24b-32k-student,12347,invalid_protocol,missing_counselor_wrapup_recap,False,missing_counselor_wrapup_recap,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_logs_txt/Agre_Cons_Emot_Extr_Open_p115__gender_male__model_mistral_small31_24b_32k.txt,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_dialog_json/Agre_Cons_Emot_Extr_Open_p115__gender_male__model_mistral_small31_24b_32k.dialog.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_patches/Agre_Cons_Emot_Extr_Open_p115__gender_male__model_mistral_small31_24b_32k.listener_patches.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_events/Agre_Cons_Emot_Extr_Open_p115__gender_male__model_mistral_small31_24b_32k.listener_events.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_memory/Agre_Cons_Emot_Extr_Open_p115__gender_male__model_mistral_small31_24b_32k.listener_memory.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_selected_options/Agre_Cons_Emot_Extr_Open_p115__gender_male__model_mistral_small31_24b_32k.selected_option.json,1,1 - University of Messina | [1032] INGEGNERIA ELETTRONICA E INFORMATICA PIANO STATUTARIO COMUNE,14,hidden_counselor_listener_gender_no_visible_student_gender_cue_by_default,inferred_by_counselor_listener_no_source_riasec_injection
baseline_gender_ollama,Agre_Cons_Emot_Extr_Open_p123__gender_male__model_mistral_small31_24b_32k,Agre_Cons_Emot_Extr_Open_p123.json,/home/jovyan/projects/eloquence_pilot2/PERSONAS_DATASET_baseline_02_riasec_l2_only/Agre_Cons_Emot_Extr_Open_p123.json,male,mistral_small31_24b_32k,ollama:mistral-small3.1-24b-32k,ollama:mistral-small3.1-24b-32k-student,12348,invalid_protocol,missing_counselor_wrapup_recap,False,missing_counselor_wrapup_recap,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_logs_txt/Agre_Cons_Emot_Extr_Open_p123__gender_male__model_mistral_small31_24b_32k.txt,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_dialog_json/Agre_Cons_Emot_Extr_Open_p123__gender_male__model_mistral_small31_24b_32k.dialog.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_patches/Agre_Cons_Emot_Extr_Open_p123__gender_male__model_mistral_small31_24b_32k.listener_patches.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_events/Agre_Cons_Emot_Extr_Open_p123__gender_male__model_mistral_small31_24b_32k.listener_events.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_memory/Agre_Cons_Emot_Extr_Open_p123__gender_male__model_mistral_small31_24b_32k.listener_memory.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_selected_options/Agre_Cons_Emot_Extr_Open_p123__gender_male__model_mistral_small31_24b_32k.selected_option.json,1,1 - University of Trento | [0326G] INGEGNERIA PER L'AMBIENTE E IL TERRITORIO,14,hidden_counselor_listener_gender_no_visible_student_gender_cue_by_default,inferred_by_counselor_listener_no_source_riasec_injection
baseline_gender_ollama,Agre_Cons_Emot_Extr_Open_p130__gender_male__model_mistral_small31_24b_32k,Agre_Cons_Emot_Extr_Open_p130.json,/home/jovyan/projects/eloquence_pilot2/PERSONAS_DATASET_baseline_02_riasec_l2_only/Agre_Cons_Emot_Extr_Open_p130.json,male,mistral_small31_24b_32k,ollama:mistral-small3.1-24b-32k,ollama:mistral-small3.1-24b-32k-student,12349,invalid_protocol,missing_counselor_wrapup_recap,False,missing_counselor_wrapup_recap,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_logs_txt/Agre_Cons_Emot_Extr_Open_p130__gender_male__model_mistral_small31_24b_32k.txt,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_dialog_json/Agre_Cons_Emot_Extr_Open_p130__gender_male__model_mistral_small31_24b_32k.dialog.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_patches/Agre_Cons_Emot_Extr_Open_p130__gender_male__model_mistral_small31_24b_32k.listener_patches.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_events/Agre_Cons_Emot_Extr_Open_p130__gender_male__model_mistral_small31_24b_32k.listener_events.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_memory/Agre_Cons_Emot_Extr_Open_p130__gender_male__model_mistral_small31_24b_32k.listener_memory.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_selected_options/Agre_Cons_Emot_Extr_Open_p130__gender_male__model_mistral_small31_24b_32k.selected_option.json,1,1 - University of Trento | [0344H] MECHATRONICS ENGINEERING,14,hidden_counselor_listener_gender_no_visible_student_gender_cue_by_default,inferred_by_counselor_listener_no_source_riasec_injection
baseline_gender_ollama,Agre_Cons_Emot_Extr_Open_p131__gender_male__model_mistral_small31_24b_32k,Agre_Cons_Emot_Extr_Open_p131.json,/home/jovyan/projects/eloquence_pilot2/PERSONAS_DATASET_baseline_02_riasec_l2_only/Agre_Cons_Emot_Extr_Open_p131.json,male,mistral_small31_24b_32k,ollama:mistral-small3.1-24b-32k,ollama:mistral-small3.1-24b-32k-student,12350,invalid_protocol,missing_counselor_wrapup_recap,False,missing_counselor_wrapup_recap,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_logs_txt/Agre_Cons_Emot_Extr_Open_p131__gender_male__model_mistral_small31_24b_32k.txt,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_dialog_json/Agre_Cons_Emot_Extr_Open_p131__gender_male__model_mistral_small31_24b_32k.dialog.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_patches/Agre_Cons_Emot_Extr_Open_p131__gender_male__model_mistral_small31_24b_32k.listener_patches.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_events/Agre_Cons_Emot_Extr_Open_p131__gender_male__model_mistral_small31_24b_32k.listener_events.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_memory/Agre_Cons_Emot_Extr_Open_p131__gender_male__model_mistral_small31_24b_32k.listener_memory.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_selected_options/Agre_Cons_Emot_Extr_Open_p131__gender_male__model_mistral_small31_24b_32k.selected_option.json,1,1 - University of Siena | [D339] ECONOMICS AND MANAGEMENT Inglese ECONOMICS AND SOCIAL SCIENCES,22,hidden_counselor_listener_gender_no_visible_student_gender_cue_by_default,inferred_by_counselor_listener_no_source_riasec_injection
baseline_gender_ollama,Agre_Cons_Emot_Extr_Open_p135__gender_male__model_mistral_small31_24b_32k,Agre_Cons_Emot_Extr_Open_p135.json,/home/jovyan/projects/eloquence_pilot2/PERSONAS_DATASET_baseline_02_riasec_l2_only/Agre_Cons_Emot_Extr_Open_p135.json,male,mistral_small31_24b_32k,ollama:mistral-small3.1-24b-32k,ollama:mistral-small3.1-24b-32k-student,12351,invalid_protocol,missing_fixed_followup_questions=9,False,missing_fixed_followup_questions=9,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_logs_txt/Agre_Cons_Emot_Extr_Open_p135__gender_male__model_mistral_small31_24b_32k.txt,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_dialog_json/Agre_Cons_Emot_Extr_Open_p135__gender_male__model_mistral_small31_24b_32k.dialog.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_patches/Agre_Cons_Emot_Extr_Open_p135__gender_male__model_mistral_small31_24b_32k.listener_patches.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_events/Agre_Cons_Emot_Extr_Open_p135__gender_male__model_mistral_small31_24b_32k.listener_events.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_memory/Agre_Cons_Emot_Extr_Open_p135__gender_male__model_mistral_small31_24b_32k.listener_memory.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_selected_options/Agre_Cons_Emot_Extr_Open_p135__gender_male__model_mistral_small31_24b_32k.selected_option.json,,,,hidden_counselor_listener_gender_no_visible_student_gender_cue_by_default,inferred_by_counselor_listener_no_source_riasec_injection
baseline_gender_ollama,Agre_Cons_Emot_Extr_Open_p136__gender_male__model_mistral_small31_24b_32k,Agre_Cons_Emot_Extr_Open_p136.json,/home/jovyan/projects/eloquence_pilot2/PERSONAS_DATASET_baseline_02_riasec_l2_only/Agre_Cons_Emot_Extr_Open_p136.json,male,mistral_small31_24b_32k,ollama:mistral-small3.1-24b-32k,ollama:mistral-small3.1-24b-32k-student,12352,invalid_protocol,missing_counselor_wrapup_recap,False,missing_counselor_wrapup_recap,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_logs_txt/Agre_Cons_Emot_Extr_Open_p136__gender_male__model_mistral_small31_24b_32k.txt,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_dialog_json/Agre_Cons_Emot_Extr_Open_p136__gender_male__model_mistral_small31_24b_32k.dialog.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_patches/Agre_Cons_Emot_Extr_Open_p136__gender_male__model_mistral_small31_24b_32k.listener_patches.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_events/Agre_Cons_Emot_Extr_Open_p136__gender_male__model_mistral_small31_24b_32k.listener_events.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_memory/Agre_Cons_Emot_Extr_Open_p136__gender_male__model_mistral_small31_24b_32k.listener_memory.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_selected_options/Agre_Cons_Emot_Extr_Open_p136__gender_male__model_mistral_small31_24b_32k.selected_option.json,1,1 - University of Trento | [0416G] FILOSOFIA,14,hidden_counselor_listener_gender_no_visible_student_gender_cue_by_default,inferred_by_counselor_listener_no_source_riasec_injection
baseline_gender_ollama,Agre_Cons_Emot_Extr_Open_p149__gender_male__model_mistral_small31_24b_32k,Agre_Cons_Emot_Extr_Open_p149.json,/home/jovyan/projects/eloquence_pilot2/PERSONAS_DATASET_baseline_02_riasec_l2_only/Agre_Cons_Emot_Extr_Open_p149.json,male,mistral_small31_24b_32k,ollama:mistral-small3.1-24b-32k,ollama:mistral-small3.1-24b-32k-student,12353,invalid_protocol,missing_counselor_wrapup_recap,False,missing_counselor_wrapup_recap,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_logs_txt/Agre_Cons_Emot_Extr_Open_p149__gender_male__model_mistral_small31_24b_32k.txt,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_dialog_json/Agre_Cons_Emot_Extr_Open_p149__gender_male__model_mistral_small31_24b_32k.dialog.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_patches/Agre_Cons_Emot_Extr_Open_p149__gender_male__model_mistral_small31_24b_32k.listener_patches.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_events/Agre_Cons_Emot_Extr_Open_p149__gender_male__model_mistral_small31_24b_32k.listener_events.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_memory/Agre_Cons_Emot_Extr_Open_p149__gender_male__model_mistral_small31_24b_32k.listener_memory.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_selected_options/Agre_Cons_Emot_Extr_Open_p149__gender_male__model_mistral_small31_24b_32k.selected_option.json,1,1 - University of Siena | [D339] ECONOMICS AND MANAGEMENT Inglese ECONOMICS AND SOCIAL SCIENCES,14,hidden_counselor_listener_gender_no_visible_student_gender_cue_by_default,inferred_by_counselor_listener_no_source_riasec_injection
baseline_gender_ollama,Agre_Cons_Emot_Extr_Open_p152__gender_male__model_mistral_small31_24b_32k,Agre_Cons_Emot_Extr_Open_p152.json,/home/jovyan/projects/eloquence_pilot2/PERSONAS_DATASET_baseline_02_riasec_l2_only/Agre_Cons_Emot_Extr_Open_p152.json,male,mistral_small31_24b_32k,ollama:mistral-small3.1-24b-32k,ollama:mistral-small3.1-24b-32k-student,12354,invalid_protocol,missing_counselor_wrapup_recap,False,missing_counselor_wrapup_recap,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_logs_txt/Agre_Cons_Emot_Extr_Open_p152__gender_male__model_mistral_small31_24b_32k.txt,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_dialog_json/Agre_Cons_Emot_Extr_Open_p152__gender_male__model_mistral_small31_24b_32k.dialog.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_patches/Agre_Cons_Emot_Extr_Open_p152__gender_male__model_mistral_small31_24b_32k.listener_patches.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_events/Agre_Cons_Emot_Extr_Open_p152__gender_male__model_mistral_small31_24b_32k.listener_events.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_listener_memory/Agre_Cons_Emot_Extr_Open_p152__gender_male__model_mistral_small31_24b_32k.listener_memory.json,/home/jovyan/projects/eloquence_pilot2/Generated Dialogs/baseline_gender_ollama/mistral_small31_24b_32k/gender_male/_out_selected_options/Agre_Cons_Emot_Extr_Open_p152__gender_male__model_mistral_small31_24b_32k.selected_option.json,1,1 - University of Messina | [1052] INGEGNERIA INDUSTRIALE ORIENTAMENTO ENERGIA E SICUREZZA,14,hidden_counselor_listener_gender_no_visible_student_gender_cue_by_default,inferred_by_counselor_listener_no_source_riasec_injection
